	id_and_goal	utt_id	MIDAS	speaker	utt
533	9893: [1] open question factual_1 [2] opinion_1 [3] yes no question_1 [4] opinion_2 [5] statement_1 [6] opinion_3 [7] command_1 [8] back-channeling_1 [9] statement_2 [10] hold_1 [11] statement_3 [12] abandon_1 [13] thanking_1 [14] statement_4 [15] yes no question_2 [16] statement_5 [17] thanking_2 [18] opinion_4	6	command_1	11111	Please get me some pills .
534	9893: [1] open question factual_1 [2] opinion_1 [3] yes no question_1 [4] opinion_2 [5] statement_1 [6] opinion_3 [7] command_1 [8] back-channeling_1 [9] statement_2 [10] hold_1 [11] statement_3 [12] abandon_1 [13] thanking_1 [14] statement_4 [15] yes no question_2 [16] statement_5 [17] thanking_2 [18] opinion_4	7	back-channeling_1	0	OK .
535	9893: [1] open question factual_1 [2] opinion_1 [3] yes no question_1 [4] opinion_2 [5] statement_1 [6] opinion_3 [7] command_1 [8] back-channeling_1 [9] statement_2 [10] hold_1 [11] statement_3 [12] abandon_1 [13] thanking_1 [14] statement_4 [15] yes no question_2 [16] statement_5 [17] thanking_2 [18] opinion_4	8	statement_2	0	I will get some for you .
536	9893: [1] open question factual_1 [2] opinion_1 [3] yes no question_1 [4] opinion_2 [5] statement_1 [6] opinion_3 [7] command_1 [8] back-channeling_1 [9] statement_2 [10] hold_1 [11] statement_3 [12] abandon_1 [13] thanking_1 [14] statement_4 [15] yes no question_2 [16] statement_5 [17] thanking_2 [18] opinion_4	9	statement_2	0	There's an airsickness bag behind the seat in front of you.Please wait me for a moment .
537	9893: [1] open question factual_1 [2] opinion_1 [3] yes no question_1 [4] opinion_2 [5] statement_1 [6] opinion_3 [7] command_1 [8] back-channeling_1 [9] statement_2 [10] hold_1 [11] statement_3 [12] abandon_1 [13] thanking_1 [14] statement_4 [15] yes no question_2 [16] statement_5 [17] thanking_2 [18] opinion_4	10	hold_1	0	( Go away for a few minutes , and now she comes back . )
538	9893: [1] open question factual_1 [2] opinion_1 [3] yes no question_1 [4] opinion_2 [5] statement_1 [6] opinion_3 [7] command_1 [8] back-channeling_1 [9] statement_2 [10] hold_1 [11] statement_3 [12] abandon_1 [13] thanking_1 [14] statement_4 [15] yes no question_2 [16] statement_5 [17] thanking_2 [18] opinion_4	11	statement_3	0	Here are two pills .
539	9893: [1] open question factual_1 [2] opinion_1 [3] yes no question_1 [4] opinion_2 [5] statement_1 [6] opinion_3 [7] command_1 [8] back-channeling_1 [9] statement_2 [10] hold_1 [11] statement_3 [12] abandon_1 [13] thanking_1 [14] statement_4 [15] yes no question_2 [16] statement_5 [17] thanking_2 [18] opinion_4	12	abandon_1	0	And the water is in the glass too.Please take the pills with water .
540	9893: [1] open question factual_1 [2] opinion_1 [3] yes no question_1 [4] opinion_2 [5] statement_1 [6] opinion_3 [7] command_1 [8] back-channeling_1 [9] statement_2 [10] hold_1 [11] statement_3 [12] abandon_1 [13] thanking_1 [14] statement_4 [15] yes no question_2 [16] statement_5 [17] thanking_2 [18] opinion_4	13	thanking_1	11111	Thank you very much .
541	9893: [1] open question factual_1 [2] opinion_1 [3] yes no question_1 [4] opinion_2 [5] statement_1 [6] opinion_3 [7] command_1 [8] back-channeling_1 [9] statement_2 [10] hold_1 [11] statement_3 [12] abandon_1 [13] thanking_1 [14] statement_4 [15] yes no question_2 [16] statement_5 [17] thanking_2 [18] opinion_4	14	statement_4	11111	( Take the pills . )
542	9893: [1] open question factual_1 [2] opinion_1 [3] yes no question_1 [4] opinion_2 [5] statement_1 [6] opinion_3 [7] command_1 [8] back-channeling_1 [9] statement_2 [10] hold_1 [11] statement_3 [12] abandon_1 [13] thanking_1 [14] statement_4 [15] yes no question_2 [16] statement_5 [17] thanking_2 [18] opinion_4	15	yes no question_2	0	Are you feeling better now ?
543	9893: [1] open question factual_1 [2] opinion_1 [3] yes no question_1 [4] opinion_2 [5] statement_1 [6] opinion_3 [7] command_1 [8] back-channeling_1 [9] statement_2 [10] hold_1 [11] statement_3 [12] abandon_1 [13] thanking_1 [14] statement_4 [15] yes no question_2 [16] statement_5 [17] thanking_2 [18] opinion_4	16	statement_5	11111	Much better now .
544	9893: [1] open question factual_1 [2] opinion_1 [3] yes no question_1 [4] opinion_2 [5] statement_1 [6] opinion_3 [7] command_1 [8] back-channeling_1 [9] statement_2 [10] hold_1 [11] statement_3 [12] abandon_1 [13] thanking_1 [14] statement_4 [15] yes no question_2 [16] statement_5 [17] thanking_2 [18] opinion_4	17	thanking_2	11111	Thanks again .
545	9893: [1] open question factual_1 [2] opinion_1 [3] yes no question_1 [4] opinion_2 [5] statement_1 [6] opinion_3 [7] command_1 [8] back-channeling_1 [9] statement_2 [10] hold_1 [11] statement_3 [12] abandon_1 [13] thanking_1 [14] statement_4 [15] yes no question_2 [16] statement_5 [17] thanking_2 [18] opinion_4	18	opinion_4	0	My pleasure .
546	6985: [1] command_1 [2] opinion_1 [3] yes no question_1 [4] back-channeling_1	0	command_1	0	let's go out for a walk .
547	6985: [1] command_1 [2] opinion_1 [3] yes no question_1 [4] back-channeling_1	1	opinion_1	11111	I don't really feel like a walk .
548	6985: [1] command_1 [2] opinion_1 [3] yes no question_1 [4] back-channeling_1	2	yes no question_1	0	Well , shall we go to the cinema ?
549	6985: [1] command_1 [2] opinion_1 [3] yes no question_1 [4] back-channeling_1	3	back-channeling_1	11111	All right.That sounds more interesting .
550	4109: [1] open question factual_1 [2] statement_1 [3] open question factual_2 [4] statement_2 [5] comment_1 [6] command_1 [7] open question factual_3 [8] statement_3 [9] open question factual_4 [10] statement_4 [11] comment_2	0	open question factual_1	0	What may I do for you ?
551	4109: [1] open question factual_1 [2] statement_1 [3] open question factual_2 [4] statement_2 [5] comment_1 [6] command_1 [7] open question factual_3 [8] statement_3 [9] open question factual_4 [10] statement_4 [11] comment_2	1	statement_1	11111	I need to get a passport .
552	4109: [1] open question factual_1 [2] statement_1 [3] open question factual_2 [4] statement_2 [5] comment_1 [6] command_1 [7] open question factual_3 [8] statement_3 [9] open question factual_4 [10] statement_4 [11] comment_2	2	statement_1	0	You will need to apply for one .
553	4109: [1] open question factual_1 [2] statement_1 [3] open question factual_2 [4] statement_2 [5] comment_1 [6] command_1 [7] open question factual_3 [8] statement_3 [9] open question factual_4 [10] statement_4 [11] comment_2	3	open question factual_2	11111	When will I be able to do that ?
554	4109: [1] open question factual_1 [2] statement_1 [3] open question factual_2 [4] statement_2 [5] comment_1 [6] command_1 [7] open question factual_3 [8] statement_3 [9] open question factual_4 [10] statement_4 [11] comment_2	4	statement_2	0	You can do it right now , if you'd like .
555	4109: [1] open question factual_1 [2] statement_1 [3] open question factual_2 [4] statement_2 [5] comment_1 [6] command_1 [7] open question factual_3 [8] statement_3 [9] open question factual_4 [10] statement_4 [11] comment_2	5	comment_1	11111	That's fine .
556	4109: [1] open question factual_1 [2] statement_1 [3] open question factual_2 [4] statement_2 [5] comment_1 [6] command_1 [7] open question factual_3 [8] statement_3 [9] open question factual_4 [10] statement_4 [11] comment_2	6	command_1	0	Please fill out this application .
557	4109: [1] open question factual_1 [2] statement_1 [3] open question factual_2 [4] statement_2 [5] comment_1 [6] command_1 [7] open question factual_3 [8] statement_3 [9] open question factual_4 [10] statement_4 [11] comment_2	7	open question factual_3	11111	Then what do I do ?
558	4109: [1] open question factual_1 [2] statement_1 [3] open question factual_2 [4] statement_2 [5] comment_1 [6] command_1 [7] open question factual_3 [8] statement_3 [9] open question factual_4 [10] statement_4 [11] comment_2	8	statement_3	0	I just need to take your picture .
559	4109: [1] open question factual_1 [2] statement_1 [3] open question factual_2 [4] statement_2 [5] comment_1 [6] command_1 [7] open question factual_3 [8] statement_3 [9] open question factual_4 [10] statement_4 [11] comment_2	9	open question factual_4	11111	How long will it take for my passport to be ready ?
560	4109: [1] open question factual_1 [2] statement_1 [3] open question factual_2 [4] statement_2 [5] comment_1 [6] command_1 [7] open question factual_3 [8] statement_3 [9] open question factual_4 [10] statement_4 [11] comment_2	10	statement_4	0	You will get it in a few weeks .
561	4109: [1] open question factual_1 [2] statement_1 [3] open question factual_2 [4] statement_2 [5] comment_1 [6] command_1 [7] open question factual_3 [8] statement_3 [9] open question factual_4 [10] statement_4 [11] comment_2	11	comment_2	11111	That's perfect .
562	2396: [1] open question factual_1 [2] statement_1 [3] yes no question_1 [4] pos answer_1 [5] statement_2 [6] back-channeling_1 [7] statement_3	0	open question factual_1	0	So how long do you plan to live here ?
563	2396: [1] open question factual_1 [2] statement_1 [3] yes no question_1 [4] pos answer_1 [5] statement_2 [6] back-channeling_1 [7] statement_3	1	statement_1	11111	We'd like to sign a year-long contract , if that's OK .
564	2396: [1] open question factual_1 [2] statement_1 [3] yes no question_1 [4] pos answer_1 [5] statement_2 [6] back-channeling_1 [7] statement_3	2	statement_1	0	Fine by me .
565	2396: [1] open question factual_1 [2] statement_1 [3] yes no question_1 [4] pos answer_1 [5] statement_2 [6] back-channeling_1 [7] statement_3	3	yes no question_1	0	Do you know how to read this kind of contract ?
566	2396: [1] open question factual_1 [2] statement_1 [3] yes no question_1 [4] pos answer_1 [5] statement_2 [6] back-channeling_1 [7] statement_3	4	pos answer_1	11111	Yes .
567	2396: [1] open question factual_1 [2] statement_1 [3] yes no question_1 [4] pos answer_1 [5] statement_2 [6] back-channeling_1 [7] statement_3	5	statement_2	11111	We've signed them before .
568	2396: [1] open question factual_1 [2] statement_1 [3] yes no question_1 [4] pos answer_1 [5] statement_2 [6] back-channeling_1 [7] statement_3	6	statement_2	11111	We even brought our chops .
569	2396: [1] open question factual_1 [2] statement_1 [3] yes no question_1 [4] pos answer_1 [5] statement_2 [6] back-channeling_1 [7] statement_3	7	back-channeling_1	0	Great .
570	2396: [1] open question factual_1 [2] statement_1 [3] yes no question_1 [4] pos answer_1 [5] statement_2 [6] back-channeling_1 [7] statement_3	8	statement_3	0	When in Rome , you guys know what to do .
571	2396: [1] open question factual_1 [2] statement_1 [3] yes no question_1 [4] pos answer_1 [5] statement_2 [6] back-channeling_1 [7] statement_3	9	statement_3	11111	We'll sign our signatures , too .
572	2396: [1] open question factual_1 [2] statement_1 [3] yes no question_1 [4] pos answer_1 [5] statement_2 [6] back-channeling_1 [7] statement_3	10	statement_3	11111	And give you our passport numbers along with our ARC numbers .
573	2396: [1] open question factual_1 [2] statement_1 [3] yes no question_1 [4] pos answer_1 [5] statement_2 [6] back-channeling_1 [7] statement_3	11	statement_3	0	That about does it .
574	2396: [1] open question factual_1 [2] statement_1 [3] yes no question_1 [4] pos answer_1 [5] statement_2 [6] back-channeling_1 [7] statement_3	12	statement_3	0	See you in a week .
575	11105: [1] open question opinion_1 [2] opinion_1 [3] yes no question_1 [4] pos answer_1 [5] statement_1	0	open question opinion_1	0	What was your duty like in your previous job ?
576	11105: [1] open question opinion_1 [2] opinion_1 [3] yes no question_1 [4] pos answer_1 [5] statement_1	1	opinion_1	11111	We have a team to make itineraries of the tour , evaluate the value of it for one tourist and recommend the routine for different tourists .
577	11105: [1] open question opinion_1 [2] opinion_1 [3] yes no question_1 [4] pos answer_1 [5] statement_1	2	yes no question_1	0	Can you name a few examples ?
578	11105: [1] open question opinion_1 [2] opinion_1 [3] yes no question_1 [4] pos answer_1 [5] statement_1	3	pos answer_1	11111	Yes .
579	11105: [1] open question opinion_1 [2] opinion_1 [3] yes no question_1 [4] pos answer_1 [5] statement_1	4	statement_1	11111	There are selected itineraries for rich and high-tasted people , common routine for people who are on trade observation tour , and excursion routine for people who have limited time sightseeing .
580	1471: [1] statement_1 [2] open question factual_1 [3] opinion_1 [4] statement_2 [5] opinion_2 [6] statement_3 [7] open question factual_2	0	statement_1	0	It's time for your bath , young lady .
581	1471: [1] statement_1 [2] open question factual_1 [3] opinion_1 [4] statement_2 [5] opinion_2 [6] statement_3 [7] open question factual_2	1	statement_1	11111	But , Mom , I'm not dirty .
582	1471: [1] statement_1 [2] open question factual_1 [3] opinion_1 [4] statement_2 [5] opinion_2 [6] statement_3 [7] open question factual_2	2	statement_1	0	You need a bath every day .
583	1471: [1] statement_1 [2] open question factual_1 [3] opinion_1 [4] statement_2 [5] opinion_2 [6] statement_3 [7] open question factual_2	3	open question factual_1	11111	Why ?
584	1471: [1] statement_1 [2] open question factual_1 [3] opinion_1 [4] statement_2 [5] opinion_2 [6] statement_3 [7] open question factual_2	4	opinion_1	0	Because you don't want to smell bad .
585	1471: [1] statement_1 [2] open question factual_1 [3] opinion_1 [4] statement_2 [5] opinion_2 [6] statement_3 [7] open question factual_2	5	opinion_1	11111	I don't smell bad .
586	1471: [1] statement_1 [2] open question factual_1 [3] opinion_1 [4] statement_2 [5] opinion_2 [6] statement_3 [7] open question factual_2	6	statement_2	0	That's what you think .
587	1471: [1] statement_1 [2] open question factual_1 [3] opinion_1 [4] statement_2 [5] opinion_2 [6] statement_3 [7] open question factual_2	7	opinion_2	11111	If I smelled bad , I could smell me .
588	1471: [1] statement_1 [2] open question factual_1 [3] opinion_1 [4] statement_2 [5] opinion_2 [6] statement_3 [7] open question factual_2	8	statement_3	0	I can smell you .
589	1471: [1] statement_1 [2] open question factual_1 [3] opinion_1 [4] statement_2 [5] opinion_2 [6] statement_3 [7] open question factual_2	9	statement_3	11111	I can smell you , too .
590	1471: [1] statement_1 [2] open question factual_1 [3] opinion_1 [4] statement_2 [5] opinion_2 [6] statement_3 [7] open question factual_2	10	statement_3	0	That's my perfume .
591	1471: [1] statement_1 [2] open question factual_1 [3] opinion_1 [4] statement_2 [5] opinion_2 [6] statement_3 [7] open question factual_2	11	open question factual_2	11111	When can I wear perfume ?
592	6406: [1] statement_1 [2] open question factual_1 [3] statement_2 [4] open question opinion_1 [5] yes no question_1 [6] neg answer_1 [7] statement_3 [8] opinion_1 [9] statement_4	0	statement_1	0	There is something wrong with my girlfriend .
593	6406: [1] statement_1 [2] open question factual_1 [3] statement_2 [4] open question opinion_1 [5] yes no question_1 [6] neg answer_1 [7] statement_3 [8] opinion_1 [9] statement_4	1	open question factual_1	11111	What's the trouble ?
594	6406: [1] statement_1 [2] open question factual_1 [3] statement_2 [4] open question opinion_1 [5] yes no question_1 [6] neg answer_1 [7] statement_3 [8] opinion_1 [9] statement_4	2	statement_2	0	The department manager is all over her .
595	6406: [1] statement_1 [2] open question factual_1 [3] statement_2 [4] open question opinion_1 [5] yes no question_1 [6] neg answer_1 [7] statement_3 [8] opinion_1 [9] statement_4	3	statement_2	0	He says he loves her .
596	6406: [1] statement_1 [2] open question factual_1 [3] statement_2 [4] open question opinion_1 [5] yes no question_1 [6] neg answer_1 [7] statement_3 [8] opinion_1 [9] statement_4	4	open question opinion_1	11111	What about your friend ?
597	6406: [1] statement_1 [2] open question factual_1 [3] statement_2 [4] open question opinion_1 [5] yes no question_1 [6] neg answer_1 [7] statement_3 [8] opinion_1 [9] statement_4	5	yes no question_1	11111	Did she fall for him ?
598	6406: [1] statement_1 [2] open question factual_1 [3] statement_2 [4] open question opinion_1 [5] yes no question_1 [6] neg answer_1 [7] statement_3 [8] opinion_1 [9] statement_4	6	neg answer_1	0	Of course not !
599	6406: [1] statement_1 [2] open question factual_1 [3] statement_2 [4] open question opinion_1 [5] yes no question_1 [6] neg answer_1 [7] statement_3 [8] opinion_1 [9] statement_4	7	statement_3	0	She thinks he's an apple-head .
600	6406: [1] statement_1 [2] open question factual_1 [3] statement_2 [4] open question opinion_1 [5] yes no question_1 [6] neg answer_1 [7] statement_3 [8] opinion_1 [9] statement_4	8	opinion_1	0	She doesn't like an apple-headed man , you know .
601	6406: [1] statement_1 [2] open question factual_1 [3] statement_2 [4] open question opinion_1 [5] yes no question_1 [6] neg answer_1 [7] statement_3 [8] opinion_1 [9] statement_4	9	statement_4	11111	Now you don't have the butterflies in your stomach , do you ?
602	1788: [1] statement_1 [2] comment_1 [3] statement_2 [4] comment_2 [5] statement_3 [6] opinion_1 [7] statement_4 [8] abandon_1 [9] opinion_2	0	statement_1	0	I've typed the report .
603	1788: [1] statement_1 [2] comment_1 [3] statement_2 [4] comment_2 [5] statement_3 [6] opinion_1 [7] statement_4 [8] abandon_1 [9] opinion_2	1	comment_1	11111	Well done .
604	1788: [1] statement_1 [2] comment_1 [3] statement_2 [4] comment_2 [5] statement_3 [6] opinion_1 [7] statement_4 [8] abandon_1 [9] opinion_2	2	statement_2	0	And I've filed the letters .
605	1788: [1] statement_1 [2] comment_1 [3] statement_2 [4] comment_2 [5] statement_3 [6] opinion_1 [7] statement_4 [8] abandon_1 [9] opinion_2	3	comment_2	11111	Excellent job .
606	1788: [1] statement_1 [2] comment_1 [3] statement_2 [4] comment_2 [5] statement_3 [6] opinion_1 [7] statement_4 [8] abandon_1 [9] opinion_2	4	statement_3	0	And I've checked the orders .
607	1788: [1] statement_1 [2] comment_1 [3] statement_2 [4] comment_2 [5] statement_3 [6] opinion_1 [7] statement_4 [8] abandon_1 [9] opinion_2	5	opinion_1	11111	I'm very impressed .
608	1788: [1] statement_1 [2] comment_1 [3] statement_2 [4] comment_2 [5] statement_3 [6] opinion_1 [7] statement_4 [8] abandon_1 [9] opinion_2	6	statement_4	0	And I've ordered the supplies .
609	1788: [1] statement_1 [2] comment_1 [3] statement_2 [4] comment_2 [5] statement_3 [6] opinion_1 [7] statement_4 [8] abandon_1 [9] opinion_2	7	abandon_1	11111	Congratulations .
610	1788: [1] statement_1 [2] comment_1 [3] statement_2 [4] comment_2 [5] statement_3 [6] opinion_1 [7] statement_4 [8] abandon_1 [9] opinion_2	8	opinion_2	11111	You should be very proud of yourself .
611	7238: [1] yes no question_1 [2] statement_1 [3] comment_1 [4] back-channeling_1 [5] statement_2 [6] back-channeling_2 [7] statement_3 [8] open question opinion_1 [9] opinion_1 [10] statement_4 [11] opinion_2 [12] open question factual_1 [13] opinion_3 [14] statement_5	0	yes no question_1	0	Honey , do you know what color the carrot is ?
612	7238: [1] yes no question_1 [2] statement_1 [3] comment_1 [4] back-channeling_1 [5] statement_2 [6] back-channeling_2 [7] statement_3 [8] open question opinion_1 [9] opinion_1 [10] statement_4 [11] opinion_2 [12] open question factual_1 [13] opinion_3 [14] statement_5	1	statement_1	11111	Mom , it's orange ?
613	7238: [1] yes no question_1 [2] statement_1 [3] comment_1 [4] back-channeling_1 [5] statement_2 [6] back-channeling_2 [7] statement_3 [8] open question opinion_1 [9] opinion_1 [10] statement_4 [11] opinion_2 [12] open question factual_1 [13] opinion_3 [14] statement_5	2	comment_1	0	Wow , my son is so clever .
614	7238: [1] yes no question_1 [2] statement_1 [3] comment_1 [4] back-channeling_1 [5] statement_2 [6] back-channeling_2 [7] statement_3 [8] open question opinion_1 [9] opinion_1 [10] statement_4 [11] opinion_2 [12] open question factual_1 [13] opinion_3 [14] statement_5	3	comment_1	11111	Mom , that's a stupid question .
615	7238: [1] yes no question_1 [2] statement_1 [3] comment_1 [4] back-channeling_1 [5] statement_2 [6] back-channeling_2 [7] statement_3 [8] open question opinion_1 [9] opinion_1 [10] statement_4 [11] opinion_2 [12] open question factual_1 [13] opinion_3 [14] statement_5	4	back-channeling_1	0	Really ?
616	7238: [1] yes no question_1 [2] statement_1 [3] comment_1 [4] back-channeling_1 [5] statement_2 [6] back-channeling_2 [7] statement_3 [8] open question opinion_1 [9] opinion_1 [10] statement_4 [11] opinion_2 [12] open question factual_1 [13] opinion_3 [14] statement_5	5	statement_2	11111	I am not a child at all .
617	7238: [1] yes no question_1 [2] statement_1 [3] comment_1 [4] back-channeling_1 [5] statement_2 [6] back-channeling_2 [7] statement_3 [8] open question opinion_1 [9] opinion_1 [10] statement_4 [11] opinion_2 [12] open question factual_1 [13] opinion_3 [14] statement_5	6	statement_2	11111	I know more .
618	7238: [1] yes no question_1 [2] statement_1 [3] comment_1 [4] back-channeling_1 [5] statement_2 [6] back-channeling_2 [7] statement_3 [8] open question opinion_1 [9] opinion_1 [10] statement_4 [11] opinion_2 [12] open question factual_1 [13] opinion_3 [14] statement_5	7	statement_2	0	Oh , my son looks like a grown-up .
619	7238: [1] yes no question_1 [2] statement_1 [3] comment_1 [4] back-channeling_1 [5] statement_2 [6] back-channeling_2 [7] statement_3 [8] open question opinion_1 [9] opinion_1 [10] statement_4 [11] opinion_2 [12] open question factual_1 [13] opinion_3 [14] statement_5	8	back-channeling_2	11111	Sure .
620	7238: [1] yes no question_1 [2] statement_1 [3] comment_1 [4] back-channeling_1 [5] statement_2 [6] back-channeling_2 [7] statement_3 [8] open question opinion_1 [9] opinion_1 [10] statement_4 [11] opinion_2 [12] open question factual_1 [13] opinion_3 [14] statement_5	9	statement_3	11111	Mom , I can take care of you .
621	7238: [1] yes no question_1 [2] statement_1 [3] comment_1 [4] back-channeling_1 [5] statement_2 [6] back-channeling_2 [7] statement_3 [8] open question opinion_1 [9] opinion_1 [10] statement_4 [11] opinion_2 [12] open question factual_1 [13] opinion_3 [14] statement_5	10	statement_3	0	No kidding .
622	7238: [1] yes no question_1 [2] statement_1 [3] comment_1 [4] back-channeling_1 [5] statement_2 [6] back-channeling_2 [7] statement_3 [8] open question opinion_1 [9] opinion_1 [10] statement_4 [11] opinion_2 [12] open question factual_1 [13] opinion_3 [14] statement_5	11	open question opinion_1	0	So tell me what's your favorite color ?
623	7238: [1] yes no question_1 [2] statement_1 [3] comment_1 [4] back-channeling_1 [5] statement_2 [6] back-channeling_2 [7] statement_3 [8] open question opinion_1 [9] opinion_1 [10] statement_4 [11] opinion_2 [12] open question factual_1 [13] opinion_3 [14] statement_5	12	opinion_1	11111	I like blue .
624	7238: [1] yes no question_1 [2] statement_1 [3] comment_1 [4] back-channeling_1 [5] statement_2 [6] back-channeling_2 [7] statement_3 [8] open question opinion_1 [9] opinion_1 [10] statement_4 [11] opinion_2 [12] open question factual_1 [13] opinion_3 [14] statement_5	13	statement_4	11111	You see , that's the color of the sky .
625	7238: [1] yes no question_1 [2] statement_1 [3] comment_1 [4] back-channeling_1 [5] statement_2 [6] back-channeling_2 [7] statement_3 [8] open question opinion_1 [9] opinion_1 [10] statement_4 [11] opinion_2 [12] open question factual_1 [13] opinion_3 [14] statement_5	14	opinion_2	11111	I wanna be a superman .
626	7238: [1] yes no question_1 [2] statement_1 [3] comment_1 [4] back-channeling_1 [5] statement_2 [6] back-channeling_2 [7] statement_3 [8] open question opinion_1 [9] opinion_1 [10] statement_4 [11] opinion_2 [12] open question factual_1 [13] opinion_3 [14] statement_5	15	open question factual_1	0	Why ?
627	7238: [1] yes no question_1 [2] statement_1 [3] comment_1 [4] back-channeling_1 [5] statement_2 [6] back-channeling_2 [7] statement_3 [8] open question opinion_1 [9] opinion_1 [10] statement_4 [11] opinion_2 [12] open question factual_1 [13] opinion_3 [14] statement_5	16	opinion_3	11111	I hope I can fly to any place like superman .
628	7238: [1] yes no question_1 [2] statement_1 [3] comment_1 [4] back-channeling_1 [5] statement_2 [6] back-channeling_2 [7] statement_3 [8] open question opinion_1 [9] opinion_1 [10] statement_4 [11] opinion_2 [12] open question factual_1 [13] opinion_3 [14] statement_5	17	opinion_3	11111	So I can touch the sky .
629	7238: [1] yes no question_1 [2] statement_1 [3] comment_1 [4] back-channeling_1 [5] statement_2 [6] back-channeling_2 [7] statement_3 [8] open question opinion_1 [9] opinion_1 [10] statement_4 [11] opinion_2 [12] open question factual_1 [13] opinion_3 [14] statement_5	18	opinion_3	0	OK , superman .
630	7238: [1] yes no question_1 [2] statement_1 [3] comment_1 [4] back-channeling_1 [5] statement_2 [6] back-channeling_2 [7] statement_3 [8] open question opinion_1 [9] opinion_1 [10] statement_4 [11] opinion_2 [12] open question factual_1 [13] opinion_3 [14] statement_5	19	statement_5	0	Put on your cape , we are going to fly home .
631	3647: [1] statement_1 [2] yes no question_1 [3] opinion_1 [4] open question factual_1 [5] opinion_2 [6] open question factual_2 [7] opinion_3 [8] statement_2 [9] thanking_1 [10] opinion_4 [11] statement_3 [12] opinion_5	0	statement_1	0	I need to get some beef .
632	3647: [1] statement_1 [2] yes no question_1 [3] opinion_1 [4] open question factual_1 [5] opinion_2 [6] open question factual_2 [7] opinion_3 [8] statement_2 [9] thanking_1 [10] opinion_4 [11] statement_3 [12] opinion_5	1	yes no question_1	11111	Do you know what kind of beef you want ?
633	3647: [1] statement_1 [2] yes no question_1 [3] opinion_1 [4] open question factual_1 [5] opinion_2 [6] open question factual_2 [7] opinion_3 [8] statement_2 [9] thanking_1 [10] opinion_4 [11] statement_3 [12] opinion_5	2	opinion_1	0	I want to get some ground beef .
634	3647: [1] statement_1 [2] yes no question_1 [3] opinion_1 [4] open question factual_1 [5] opinion_2 [6] open question factual_2 [7] opinion_3 [8] statement_2 [9] thanking_1 [10] opinion_4 [11] statement_3 [12] opinion_5	3	open question factual_1	11111	How many pounds do you need ?
635	3647: [1] statement_1 [2] yes no question_1 [3] opinion_1 [4] open question factual_1 [5] opinion_2 [6] open question factual_2 [7] opinion_3 [8] statement_2 [9] thanking_1 [10] opinion_4 [11] statement_3 [12] opinion_5	4	opinion_2	0	I would like four pounds of ground beef .
636	3647: [1] statement_1 [2] yes no question_1 [3] opinion_1 [4] open question factual_1 [5] opinion_2 [6] open question factual_2 [7] opinion_3 [8] statement_2 [9] thanking_1 [10] opinion_4 [11] statement_3 [12] opinion_5	5	open question factual_2	11111	What kind of ground beef do you need ?
637	3647: [1] statement_1 [2] yes no question_1 [3] opinion_1 [4] open question factual_1 [5] opinion_2 [6] open question factual_2 [7] opinion_3 [8] statement_2 [9] thanking_1 [10] opinion_4 [11] statement_3 [12] opinion_5	6	opinion_3	0	I would like the extra lean .
638	3647: [1] statement_1 [2] yes no question_1 [3] opinion_1 [4] open question factual_1 [5] opinion_2 [6] open question factual_2 [7] opinion_3 [8] statement_2 [9] thanking_1 [10] opinion_4 [11] statement_3 [12] opinion_5	7	statement_2	11111	Let me go and get that for you .
639	3647: [1] statement_1 [2] yes no question_1 [3] opinion_1 [4] open question factual_1 [5] opinion_2 [6] open question factual_2 [7] opinion_3 [8] statement_2 [9] thanking_1 [10] opinion_4 [11] statement_3 [12] opinion_5	8	thanking_1	0	Thank you very much .
640	3647: [1] statement_1 [2] yes no question_1 [3] opinion_1 [4] open question factual_1 [5] opinion_2 [6] open question factual_2 [7] opinion_3 [8] statement_2 [9] thanking_1 [10] opinion_4 [11] statement_3 [12] opinion_5	9	opinion_4	11111	No problem .
641	3647: [1] statement_1 [2] yes no question_1 [3] opinion_1 [4] open question factual_1 [5] opinion_2 [6] open question factual_2 [7] opinion_3 [8] statement_2 [9] thanking_1 [10] opinion_4 [11] statement_3 [12] opinion_5	10	statement_3	11111	I'll wrap it up for you now .
642	3647: [1] statement_1 [2] yes no question_1 [3] opinion_1 [4] open question factual_1 [5] opinion_2 [6] open question factual_2 [7] opinion_3 [8] statement_2 [9] thanking_1 [10] opinion_4 [11] statement_3 [12] opinion_5	11	opinion_5	0	I appreciate that .
643	10052: [1] opinion_1 [2] open question factual_1 [3] statement_1 [4] open question factual_2 [5] statement_2 [6] thanking_1	0	opinion_1	0	I'd like to reconfirm my plane reservation .
644	10052: [1] opinion_1 [2] open question factual_1 [3] statement_1 [4] open question factual_2 [5] statement_2 [6] thanking_1	1	open question factual_1	11111	What flight are you taking ?
645	10052: [1] opinion_1 [2] open question factual_1 [3] statement_1 [4] open question factual_2 [5] statement_2 [6] thanking_1	2	statement_1	0	Flight 201 .
646	10052: [1] opinion_1 [2] open question factual_1 [3] statement_1 [4] open question factual_2 [5] statement_2 [6] thanking_1	3	open question factual_2	11111	And what's your name ?
647	10052: [1] opinion_1 [2] open question factual_1 [3] statement_1 [4] open question factual_2 [5] statement_2 [6] thanking_1	4	statement_2	0	Anderson .
648	10052: [1] opinion_1 [2] open question factual_1 [3] statement_1 [4] open question factual_2 [5] statement_2 [6] thanking_1	5	statement_2	11111	Everything is in order .
