	id_and_goal	utt_id	durec_goal_1	speaker	utt
2219	181: [1] greeting_1 [2] ask about other_1 [3] greeting_2 [4] Q&A about other_1 [5] other_1	12	other_1	speaker_1	She’ll be with you shortly.
2220	181: [1] greeting_1 [2] ask about other_1 [3] greeting_2 [4] Q&A about other_1 [5] other_1	13	other_1	speaker_2	Thank you.
2221	182: [1] ask about other_1 [2] other_1 [3] weather notification_1	0	ask about other_1	speaker_1	Excuse me, Sir, do you know what time it is?
2222	182: [1] ask about other_1 [2] other_1 [3] weather notification_1	1	ask about other_1	speaker_2	Oh, it’s almost eleven twenty.
2223	182: [1] ask about other_1 [2] other_1 [3] weather notification_1	2	ask about other_1	speaker_1	Thank you.
2224	182: [1] ask about other_1 [2] other_1 [3] weather notification_1	3	other_1	speaker_2	You’re welcome.
2225	182: [1] ask about other_1 [2] other_1 [3] weather notification_1	4	weather notification_1	speaker_2	The rain is quite heavy, isn’t it?
2226	182: [1] ask about other_1 [2] other_1 [3] weather notification_1	5	weather notification_1	speaker_1	Yeah.
2227	182: [1] ask about other_1 [2] other_1 [3] weather notification_1	6	weather notification_1	speaker_1	I was in a hurry and I forgot my umbrella today.
2228	182: [1] ask about other_1 [2] other_1 [3] weather notification_1	7	weather notification_1	speaker_2	I have one.
2229	182: [1] ask about other_1 [2] other_1 [3] weather notification_1	8	weather notification_1	speaker_2	We could share it.
2230	182: [1] ask about other_1 [2] other_1 [3] weather notification_1	9	weather notification_1	speaker_2	Which way are you going?
2231	182: [1] ask about other_1 [2] other_1 [3] weather notification_1	10	weather notification_1	speaker_1	Oh, that’s very kind of you.
2232	182: [1] ask about other_1 [2] other_1 [3] weather notification_1	11	weather notification_1	speaker_1	I am going to the Garden Hotel.
2233	182: [1] ask about other_1 [2] other_1 [3] weather notification_1	12	weather notification_1	speaker_2	I am going there, too.
2234	182: [1] ask about other_1 [2] other_1 [3] weather notification_1	13	weather notification_1	speaker_2	We can walk together.
2235	182: [1] ask about other_1 [2] other_1 [3] weather notification_1	14	weather notification_1		
2236	183: [1] ask about art_1 [2] art recommendation_1	0	ask about art_1	speaker_1	I'm interested in Chinese antiques.
2237	183: [1] ask about art_1 [2] art recommendation_1	1	art recommendation_1	speaker_2	We have a great variety of Chinese antiques.
2238	183: [1] ask about art_1 [2] art recommendation_1	2	art recommendation_1	speaker_2	Besides, we have landscape painting, figure painting and flower-and-bird painting.
2239	183: [1] ask about art_1 [2] art recommendation_1	3	art recommendation_1	speaker_1	I'd like a flower-and-bird painting.
2240	183: [1] ask about art_1 [2] art recommendation_1	4	art recommendation_1	speaker_2	How about this picture of cranes with pine trees?
2241	183: [1] ask about art_1 [2] art recommendation_1	5	art recommendation_1	speaker_2	It was painted by a famous Chinese painter in King Dynasty.
2242	183: [1] ask about art_1 [2] art recommendation_1	6	art recommendation_1	speaker_1	Oh, they look just like live cranes.
2243	183: [1] ask about art_1 [2] art recommendation_1	7	art recommendation_1	speaker_2	And what is more, in traditional Chinese thinking, cranes and pine trees symbolize longevity.
2244	184: [1] saying goodbye_1 [2] ask about other_1 [3] saying goodbye_2	0	saying goodbye_1	speaker_1	I have to check out now.
2245	184: [1] saying goodbye_1 [2] ask about other_1 [3] saying goodbye_2	1	saying goodbye_1	speaker_1	My name is Ruth Carson.
2246	184: [1] saying goodbye_1 [2] ask about other_1 [3] saying goodbye_2	2	saying goodbye_1	speaker_1	Can I have my bill, please?
2247	184: [1] saying goodbye_1 [2] ask about other_1 [3] saying goodbye_2	3	ask about other_1	speaker_2	Yes, it's $ 167.
2248	184: [1] saying goodbye_1 [2] ask about other_1 [3] saying goodbye_2	4	saying goodbye_2	speaker_1	Thank you.
2249	185: [1] greeting_1 [2] chitchat about other_1 [3] other_1 [4] chitchat about other_2 [5] other_2 [6] food recommendation_1 [7] other_3	0	greeting_1	speaker_1	Well, Mitzuko-san, I hope you like it here.
2250	185: [1] greeting_1 [2] chitchat about other_1 [3] other_1 [4] chitchat about other_2 [5] other_2 [6] food recommendation_1 [7] other_3	1	chitchat about other_1	speaker_1	This is my favourite restaurant in Taipei.
2251	185: [1] greeting_1 [2] chitchat about other_1 [3] other_1 [4] chitchat about other_2 [5] other_2 [6] food recommendation_1 [7] other_3	2	chitchat about other_1	speaker_1	It reminds me of my youth when I traveled around Europe.
2252	185: [1] greeting_1 [2] chitchat about other_1 [3] other_1 [4] chitchat about other_2 [5] other_2 [6] food recommendation_1 [7] other_3	3	other_1	speaker_2	It looks wonderful.
2253	185: [1] greeting_1 [2] chitchat about other_1 [3] other_1 [4] chitchat about other_2 [5] other_2 [6] food recommendation_1 [7] other_3	4	other_1	speaker_2	Very authentic.
2254	185: [1] greeting_1 [2] chitchat about other_1 [3] other_1 [4] chitchat about other_2 [5] other_2 [6] food recommendation_1 [7] other_3	5	chitchat about other_2	speaker_1	The chef trained in Florence.
2255	185: [1] greeting_1 [2] chitchat about other_1 [3] other_1 [4] chitchat about other_2 [5] other_2 [6] food recommendation_1 [7] other_3	6	chitchat about other_2	speaker_1	The pasta is very good here.
2256	185: [1] greeting_1 [2] chitchat about other_1 [3] other_1 [4] chitchat about other_2 [5] other_2 [6] food recommendation_1 [7] other_3	7	other_2	speaker_2	OK.
2257	185: [1] greeting_1 [2] chitchat about other_1 [3] other_1 [4] chitchat about other_2 [5] other_2 [6] food recommendation_1 [7] other_3	8	food recommendation_1	speaker_2	So, what can you recommend?
2258	185: [1] greeting_1 [2] chitchat about other_1 [3] other_1 [4] chitchat about other_2 [5] other_2 [6] food recommendation_1 [7] other_3	9	food recommendation_1	speaker_1	Hum... You should try the mushroom fettucine.
2259	185: [1] greeting_1 [2] chitchat about other_1 [3] other_1 [4] chitchat about other_2 [5] other_2 [6] food recommendation_1 [7] other_3	10	food recommendation_1	speaker_1	It's really good.
2260	185: [1] greeting_1 [2] chitchat about other_1 [3] other_1 [4] chitchat about other_2 [5] other_2 [6] food recommendation_1 [7] other_3	11	food recommendation_1	speaker_2	Is it salty?
2261	185: [1] greeting_1 [2] chitchat about other_1 [3] other_1 [4] chitchat about other_2 [5] other_2 [6] food recommendation_1 [7] other_3	12	food recommendation_1	speaker_1	Not at all.
2262	185: [1] greeting_1 [2] chitchat about other_1 [3] other_1 [4] chitchat about other_2 [5] other_2 [6] food recommendation_1 [7] other_3	13	food recommendation_1	speaker_1	It has a very delicate flavor.
2263	185: [1] greeting_1 [2] chitchat about other_1 [3] other_1 [4] chitchat about other_2 [5] other_2 [6] food recommendation_1 [7] other_3	14	food recommendation_1	speaker_2	What does' Duppa del Giono' mean?
2264	185: [1] greeting_1 [2] chitchat about other_1 [3] other_1 [4] chitchat about other_2 [5] other_2 [6] food recommendation_1 [7] other_3	15	food recommendation_1	speaker_2	I'm sorry I don't know how to pronounce that.
2265	185: [1] greeting_1 [2] chitchat about other_1 [3] other_1 [4] chitchat about other_2 [5] other_2 [6] food recommendation_1 [7] other_3	16	food recommendation_1	speaker_1	Oh, that means soup of the day.
2266	185: [1] greeting_1 [2] chitchat about other_1 [3] other_1 [4] chitchat about other_2 [5] other_2 [6] food recommendation_1 [7] other_3	17	food recommendation_1	speaker_1	I'll ask the waiter what they have today.
2267	185: [1] greeting_1 [2] chitchat about other_1 [3] other_1 [4] chitchat about other_2 [5] other_2 [6] food recommendation_1 [7] other_3	18	food recommendation_1	speaker_1	Have you tried mussels cooked the Italian way?
2268	185: [1] greeting_1 [2] chitchat about other_1 [3] other_1 [4] chitchat about other_2 [5] other_2 [6] food recommendation_1 [7] other_3	19	food recommendation_1	speaker_1	They're really delicious.
2269	185: [1] greeting_1 [2] chitchat about other_1 [3] other_1 [4] chitchat about other_2 [5] other_2 [6] food recommendation_1 [7] other_3	20	food recommendation_1	speaker_2	No.
2270	185: [1] greeting_1 [2] chitchat about other_1 [3] other_1 [4] chitchat about other_2 [5] other_2 [6] food recommendation_1 [7] other_3	21	food recommendation_1	speaker_2	I'll try them.
2271	185: [1] greeting_1 [2] chitchat about other_1 [3] other_1 [4] chitchat about other_2 [5] other_2 [6] food recommendation_1 [7] other_3	22	other_3	speaker_2	Sounds good.
2272	186: [1] ask about other_1 [2] Q&A about other_1	0	ask about other_1	speaker_1	I am calling to ask about the position of an usher.
2273	186: [1] ask about other_1 [2] Q&A about other_1	1	Q&A about other_1	speaker_2	Anything you would like to know?
2274	186: [1] ask about other_1 [2] Q&A about other_1	2	Q&A about other_1	speaker_1	What qualities do you expect the applicants to have?
2275	186: [1] ask about other_1 [2] Q&A about other_1	3	Q&A about other_1	speaker_2	We expect the usher girl to be good-looking, no less than 165 centimeters high, and love smiling.
2276	187: [1] greeting, ask about other_1 [2] camera recommendation_1 [3] chitchat about other_1 [4] accessories recommendation_1 [5] nan_1 [6] nan_2 [7] nan_3 [8] nan_4 [9] nan_5 [10] nan_6 [11] nan_7 [12] nan_8	0	greeting, ask about other_1	speaker_1	Hello, ma’am, can I help you find something?
2277	187: [1] greeting, ask about other_1 [2] camera recommendation_1 [3] chitchat about other_1 [4] accessories recommendation_1 [5] nan_1 [6] nan_2 [7] nan_3 [8] nan_4 [9] nan_5 [10] nan_6 [11] nan_7 [12] nan_8	1	camera recommendation_1	speaker_2	Yes, actually I’m looking to buy a camera.
2278	187: [1] greeting, ask about other_1 [2] camera recommendation_1 [3] chitchat about other_1 [4] accessories recommendation_1 [5] nan_1 [6] nan_2 [7] nan_3 [8] nan_4 [9] nan_5 [10] nan_6 [11] nan_7 [12] nan_8	2	camera recommendation_1	speaker_1	We’Ve got a wide selection do you know if you’d like a point-and-shoot, or something a little fancier?
2279	187: [1] greeting, ask about other_1 [2] camera recommendation_1 [3] chitchat about other_1 [4] accessories recommendation_1 [5] nan_1 [6] nan_2 [7] nan_3 [8] nan_4 [9] nan_5 [10] nan_6 [11] nan_7 [12] nan_8	3	camera recommendation_1	speaker_1	Are you shopping for yourself or for someone else?
2280	187: [1] greeting, ask about other_1 [2] camera recommendation_1 [3] chitchat about other_1 [4] accessories recommendation_1 [5] nan_1 [6] nan_2 [7] nan_3 [8] nan_4 [9] nan_5 [10] nan_6 [11] nan_7 [12] nan_8	4	camera recommendation_1	speaker_2	Actually I’m buying a camera for my husband.
2281	187: [1] greeting, ask about other_1 [2] camera recommendation_1 [3] chitchat about other_1 [4] accessories recommendation_1 [5] nan_1 [6] nan_2 [7] nan_3 [8] nan_4 [9] nan_5 [10] nan_6 [11] nan_7 [12] nan_8	5	camera recommendation_1	speaker_1	Ah, well then I’d recommend a nice entry-level digital SLR.
2282	187: [1] greeting, ask about other_1 [2] camera recommendation_1 [3] chitchat about other_1 [4] accessories recommendation_1 [5] nan_1 [6] nan_2 [7] nan_3 [8] nan_4 [9] nan_5 [10] nan_6 [11] nan_7 [12] nan_8	6	camera recommendation_1	speaker_2	Yeah?
2283	187: [1] greeting, ask about other_1 [2] camera recommendation_1 [3] chitchat about other_1 [4] accessories recommendation_1 [5] nan_1 [6] nan_2 [7] nan_3 [8] nan_4 [9] nan_5 [10] nan_6 [11] nan_7 [12] nan_8	7	camera recommendation_1	speaker_2	Can I take a look at the Sirs you carry?
2284	187: [1] greeting, ask about other_1 [2] camera recommendation_1 [3] chitchat about other_1 [4] accessories recommendation_1 [5] nan_1 [6] nan_2 [7] nan_3 [8] nan_4 [9] nan_5 [10] nan_6 [11] nan_7 [12] nan_8	8	camera recommendation_1	speaker_1	Sure thing, follow me.
2285	187: [1] greeting, ask about other_1 [2] camera recommendation_1 [3] chitchat about other_1 [4] accessories recommendation_1 [5] nan_1 [6] nan_2 [7] nan_3 [8] nan_4 [9] nan_5 [10] nan_6 [11] nan_7 [12] nan_8	9	camera recommendation_1	speaker_1	This here is the.
2286	187: [1] greeting, ask about other_1 [2] camera recommendation_1 [3] chitchat about other_1 [4] accessories recommendation_1 [5] nan_1 [6] nan_2 [7] nan_3 [8] nan_4 [9] nan_5 [10] nan_6 [11] nan_7 [12] nan_8	10	camera recommendation_1	speaker_2	The Canon Eos.
2287	187: [1] greeting, ask about other_1 [2] camera recommendation_1 [3] chitchat about other_1 [4] accessories recommendation_1 [5] nan_1 [6] nan_2 [7] nan_3 [8] nan_4 [9] nan_5 [10] nan_6 [11] nan_7 [12] nan_8	11	camera recommendation_1	speaker_2	Yeah it’s ok, but I’m looking for something that performs better in low light, has a better display panel, and longer battery life.
2288	187: [1] greeting, ask about other_1 [2] camera recommendation_1 [3] chitchat about other_1 [4] accessories recommendation_1 [5] nan_1 [6] nan_2 [7] nan_3 [8] nan_4 [9] nan_5 [10] nan_6 [11] nan_7 [12] nan_8	12	camera recommendation_1	speaker_1	Oh, ah, um the Nikon D60 is a nice option.
2289	187: [1] greeting, ask about other_1 [2] camera recommendation_1 [3] chitchat about other_1 [4] accessories recommendation_1 [5] nan_1 [6] nan_2 [7] nan_3 [8] nan_4 [9] nan_5 [10] nan_6 [11] nan_7 [12] nan_8	13	camera recommendation_1	speaker_2	Yeah, but what kit lens does this camera come with?
2290	187: [1] greeting, ask about other_1 [2] camera recommendation_1 [3] chitchat about other_1 [4] accessories recommendation_1 [5] nan_1 [6] nan_2 [7] nan_3 [8] nan_4 [9] nan_5 [10] nan_6 [11] nan_7 [12] nan_8	14	camera recommendation_1	speaker_2	I don’t want some bulky telephoto lens.
2291	187: [1] greeting, ask about other_1 [2] camera recommendation_1 [3] chitchat about other_1 [4] accessories recommendation_1 [5] nan_1 [6] nan_2 [7] nan_3 [8] nan_4 [9] nan_5 [10] nan_6 [11] nan_7 [12] nan_8	15	camera recommendation_1	speaker_1	Oh, well this one has the, uh.
2292	187: [1] greeting, ask about other_1 [2] camera recommendation_1 [3] chitchat about other_1 [4] accessories recommendation_1 [5] nan_1 [6] nan_2 [7] nan_3 [8] nan_4 [9] nan_5 [10] nan_6 [11] nan_7 [12] nan_8	16	camera recommendation_1	speaker_2	Looks to me like an 18-55 mm lens.
2293	187: [1] greeting, ask about other_1 [2] camera recommendation_1 [3] chitchat about other_1 [4] accessories recommendation_1 [5] nan_1 [6] nan_2 [7] nan_3 [8] nan_4 [9] nan_5 [10] nan_6 [11] nan_7 [12] nan_8	17	camera recommendation_1	speaker_2	pretty standard, that will do.
2294	187: [1] greeting, ask about other_1 [2] camera recommendation_1 [3] chitchat about other_1 [4] accessories recommendation_1 [5] nan_1 [6] nan_2 [7] nan_3 [8] nan_4 [9] nan_5 [10] nan_6 [11] nan_7 [12] nan_8	18	chitchat about other_1	speaker_2	Not like my husband will be stalking celebrities or anything!
2295	187: [1] greeting, ask about other_1 [2] camera recommendation_1 [3] chitchat about other_1 [4] accessories recommendation_1 [5] nan_1 [6] nan_2 [7] nan_3 [8] nan_4 [9] nan_5 [10] nan_6 [11] nan_7 [12] nan_8	19	accessories recommendation_1	speaker_1	So, ahem, can I interest you in any acc...
2296	187: [1] greeting, ask about other_1 [2] camera recommendation_1 [3] chitchat about other_1 [4] accessories recommendation_1 [5] nan_1 [6] nan_2 [7] nan_3 [8] nan_4 [9] nan_5 [10] nan_6 [11] nan_7 [12] nan_8	20	accessories recommendation_1	speaker_2	Accessories?
2297	187: [1] greeting, ask about other_1 [2] camera recommendation_1 [3] chitchat about other_1 [4] accessories recommendation_1 [5] nan_1 [6] nan_2 [7] nan_3 [8] nan_4 [9] nan_5 [10] nan_6 [11] nan_7 [12] nan_8	21	accessories recommendation_1	speaker_2	Do you carry polarizing filters?
2298	187: [1] greeting, ask about other_1 [2] camera recommendation_1 [3] chitchat about other_1 [4] accessories recommendation_1 [5] nan_1 [6] nan_2 [7] nan_3 [8] nan_4 [9] nan_5 [10] nan_6 [11] nan_7 [12] nan_8	22	accessories recommendation_1	speaker_1	Polarizing filter um we should!
2299	187: [1] greeting, ask about other_1 [2] camera recommendation_1 [3] chitchat about other_1 [4] accessories recommendation_1 [5] nan_1 [6] nan_2 [7] nan_3 [8] nan_4 [9] nan_5 [10] nan_6 [11] nan_7 [12] nan_8	23	nan_1	speaker_1	I’m sorry, ma’am.
2300	187: [1] greeting, ask about other_1 [2] camera recommendation_1 [3] chitchat about other_1 [4] accessories recommendation_1 [5] nan_1 [6] nan_2 [7] nan_3 [8] nan_4 [9] nan_5 [10] nan_6 [11] nan_7 [12] nan_8	24	nan_2	speaker_1	It looks like we’re sold out.
2301	187: [1] greeting, ask about other_1 [2] camera recommendation_1 [3] chitchat about other_1 [4] accessories recommendation_1 [5] nan_1 [6] nan_2 [7] nan_3 [8] nan_4 [9] nan_5 [10] nan_6 [11] nan_7 [12] nan_8	25	nan_3	speaker_2	No you’re not!
2302	187: [1] greeting, ask about other_1 [2] camera recommendation_1 [3] chitchat about other_1 [4] accessories recommendation_1 [5] nan_1 [6] nan_2 [7] nan_3 [8] nan_4 [9] nan_5 [10] nan_6 [11] nan_7 [12] nan_8	26	nan_4	speaker_2	There are some right here!
2303	187: [1] greeting, ask about other_1 [2] camera recommendation_1 [3] chitchat about other_1 [4] accessories recommendation_1 [5] nan_1 [6] nan_2 [7] nan_3 [8] nan_4 [9] nan_5 [10] nan_6 [11] nan_7 [12] nan_8	27	nan_5	speaker_1	Oh, well, would you look at that!
2304	187: [1] greeting, ask about other_1 [2] camera recommendation_1 [3] chitchat about other_1 [4] accessories recommendation_1 [5] nan_1 [6] nan_2 [7] nan_3 [8] nan_4 [9] nan_5 [10] nan_6 [11] nan_7 [12] nan_8	28	nan_6	speaker_1	Polarizing filters.
2305	187: [1] greeting, ask about other_1 [2] camera recommendation_1 [3] chitchat about other_1 [4] accessories recommendation_1 [5] nan_1 [6] nan_2 [7] nan_3 [8] nan_4 [9] nan_5 [10] nan_6 [11] nan_7 [12] nan_8	29	nan_7	speaker_2	Thanks for your help, Ralph!
2306	187: [1] greeting, ask about other_1 [2] camera recommendation_1 [3] chitchat about other_1 [4] accessories recommendation_1 [5] nan_1 [6] nan_2 [7] nan_3 [8] nan_4 [9] nan_5 [10] nan_6 [11] nan_7 [12] nan_8	30	nan_8	speaker_1	No problem, ma’am.
2307	188: [1] greeting, ask about other_1 [2] Q&A about travel_1	0	greeting, ask about other_1	speaker_1	May I help you, ma'ma?
2308	188: [1] greeting, ask about other_1 [2] Q&A about travel_1	1	Q&A about travel_1	speaker_2	Please, where do I catch the plane for New York?
2309	188: [1] greeting, ask about other_1 [2] Q&A about travel_1	2	Q&A about travel_1	speaker_1	First you must check in at Counter No. 4.
2310	188: [1] greeting, ask about other_1 [2] Q&A about travel_1	3	Q&A about travel_1	speaker_2	That one there?
2311	188: [1] greeting, ask about other_1 [2] Q&A about travel_1	4	Q&A about travel_1	speaker_1	That's right.
2312	188: [1] greeting, ask about other_1 [2] Q&A about travel_1	5	Q&A about travel_1	speaker_1	Then you will follow the signs to Gate 85.
2313	188: [1] greeting, ask about other_1 [2] Q&A about travel_1	6	Q&A about travel_1	speaker_2	Thank you.
2314	188: [1] greeting, ask about other_1 [2] Q&A about travel_1	7	Q&A about travel_1	speaker_2	You've been very helpful.
2315	189: [1] other_1	0	other_1	speaker_1	Mr. Crandall, I’m sorry, but I really don’t see the value in doing this entire project over from scratch.
2316	189: [1] other_1	1	other_1	speaker_1	It would take a lot of work.
2317	189: [1] other_1	2	other_1	speaker_2	That’s certainly true.
2318	189: [1] other_1	3	other_1	speaker_2	But, that’s what this job is all about, Maria.
2319	189: [1] other_1	4	other_1	speaker_2	There's no doubt that this project is unacceptable.
2320	189: [1] other_1	5	other_1	speaker_1	I agree.
2321	189: [1] other_1	6	other_1	speaker_1	But I think that we can handle the problem by making a few major changes.
2322	189: [1] other_1	7	other_1	speaker_1	I’d appreciate it if you would give me a chance.
2323	189: [1] other_1	8	other_1	speaker_2	All right, Maria.
2324	189: [1] other_1	9	other_1	speaker_2	I’ll give you until tomorrow at 4:00 to produce a satisfactory piece of work, but otherwise, you’ll have to re-do it.
2325	190: [1] other_1	0	other_1	speaker_1	I think it's time for me to meet my admirer and make him face the music.
2326	190: [1] other_1	1	other_1	speaker_2	You do?
2327	190: [1] other_1	2	other_1	speaker_2	How are you going to contact him?
2328	190: [1] other_1	3	other_1	speaker_1	I'm leaving him a message taped to my computer screen.
2329	190: [1] other_1	4	other_1	speaker_2	What does it say?
2330	190: [1] other_1	5	other_1	speaker_2	Do you think he'll see it?
2331	190: [1] other_1	6	other_1	speaker_1	He'll see it.
2332	190: [1] other_1	7	other_1	speaker_1	It says, I like sweets. Meet me at two thirty in the parking lot.
2333	190: [1] other_1	8	other_1	speaker_2	Can I spy on you guys from the window?
2334	190: [1] other_1	9	other_1	speaker_1	No.
2335	190: [1] other_1	10	other_1	speaker_1	But I'll fill you in later.
2336	190: [1] other_1	11	other_1	speaker_1	Right now I have to find Vince.
2337	190: [1] other_1	12	other_1		
2338	191: [1] other_1	0	other_1	speaker_1	There's plenty left.
2339	191: [1] other_1	1	other_1	speaker_1	Would you like another helping?
2340	191: [1] other_1	2	other_1	speaker_2	I'd like to have some more.
2341	191: [1] other_1	3	other_1	speaker_2	It's really good.
2342	192: [1] ask about other_1 [2] Q&A about other_1 [3] ask about other_2 [4] Q&A about other_2 [5] ask about other_3 [6] Q&A about other_3 [7] ask about other_4 [8] Q&A about other_4 [9] ask about other_5 [10] Q&A about other_5	0	ask about other_1	speaker_1	Excuse me, does this bus go to the new bookstore?
2343	192: [1] ask about other_1 [2] Q&A about other_1 [3] ask about other_2 [4] Q&A about other_2 [5] ask about other_3 [6] Q&A about other_3 [7] ask about other_4 [8] Q&A about other_4 [9] ask about other_5 [10] Q&A about other_5	1	Q&A about other_1	speaker_2	No, you'll have to get off at the bank, and take a No. 50.
2344	192: [1] ask about other_1 [2] Q&A about other_1 [3] ask about other_2 [4] Q&A about other_2 [5] ask about other_3 [6] Q&A about other_3 [7] ask about other_4 [8] Q&A about other_4 [9] ask about other_5 [10] Q&A about other_5	2	Q&A about other_1	speaker_1	Thank you.
2345	192: [1] ask about other_1 [2] Q&A about other_1 [3] ask about other_2 [4] Q&A about other_2 [5] ask about other_3 [6] Q&A about other_3 [7] ask about other_4 [8] Q&A about other_4 [9] ask about other_5 [10] Q&A about other_5	3	ask about other_2	speaker_1	How much is the fare to that stop?
2346	192: [1] ask about other_1 [2] Q&A about other_1 [3] ask about other_2 [4] Q&A about other_2 [5] ask about other_3 [6] Q&A about other_3 [7] ask about other_4 [8] Q&A about other_4 [9] ask about other_5 [10] Q&A about other_5	4	Q&A about other_2	speaker_2	One dollar.
2347	192: [1] ask about other_1 [2] Q&A about other_1 [3] ask about other_2 [4] Q&A about other_2 [5] ask about other_3 [6] Q&A about other_3 [7] ask about other_4 [8] Q&A about other_4 [9] ask about other_5 [10] Q&A about other_5	5	ask about other_3	speaker_1	How many stops are there?
2348	192: [1] ask about other_1 [2] Q&A about other_1 [3] ask about other_2 [4] Q&A about other_2 [5] ask about other_3 [6] Q&A about other_3 [7] ask about other_4 [8] Q&A about other_4 [9] ask about other_5 [10] Q&A about other_5	6	Q&A about other_3	speaker_2	Two stops after this one.
2349	192: [1] ask about other_1 [2] Q&A about other_1 [3] ask about other_2 [4] Q&A about other_2 [5] ask about other_3 [6] Q&A about other_3 [7] ask about other_4 [8] Q&A about other_4 [9] ask about other_5 [10] Q&A about other_5	7	ask about other_4	speaker_1	Could you please tell me when we get there?
2350	192: [1] ask about other_1 [2] Q&A about other_1 [3] ask about other_2 [4] Q&A about other_2 [5] ask about other_3 [6] Q&A about other_3 [7] ask about other_4 [8] Q&A about other_4 [9] ask about other_5 [10] Q&A about other_5	8	Q&A about other_4	speaker_2	Sure.
2351	192: [1] ask about other_1 [2] Q&A about other_1 [3] ask about other_2 [4] Q&A about other_2 [5] ask about other_3 [6] Q&A about other_3 [7] ask about other_4 [8] Q&A about other_4 [9] ask about other_5 [10] Q&A about other_5	9	ask about other_5	speaker_1	By the way, do I need a transfer again after No. 50?
2352	192: [1] ask about other_1 [2] Q&A about other_1 [3] ask about other_2 [4] Q&A about other_2 [5] ask about other_3 [6] Q&A about other_3 [7] ask about other_4 [8] Q&A about other_4 [9] ask about other_5 [10] Q&A about other_5	10	Q&A about other_5	speaker_2	No, a No. 50 will take you right there.
2353	192: [1] ask about other_1 [2] Q&A about other_1 [3] ask about other_2 [4] Q&A about other_2 [5] ask about other_3 [6] Q&A about other_3 [7] ask about other_4 [8] Q&A about other_4 [9] ask about other_5 [10] Q&A about other_5	11	Q&A about other_5	speaker_1	Thank you.
2354	193: [1] chitchat about wedding_1 [2] nan_1 [3] nan_2 [4] nan_3 [5] nan_4 [6] nan_5	0	chitchat about wedding_1	speaker_1	How are you wedding plans going?
2355	193: [1] chitchat about wedding_1 [2] nan_1 [3] nan_2 [4] nan_3 [5] nan_4 [6] nan_5	1	chitchat about wedding_1	speaker_2	Very well.
2356	193: [1] chitchat about wedding_1 [2] nan_1 [3] nan_2 [4] nan_3 [5] nan_4 [6] nan_5	2	chitchat about wedding_1	speaker_2	We started organizing everything early to avoid a last minute rush to get things done.
2357	193: [1] chitchat about wedding_1 [2] nan_1 [3] nan_2 [4] nan_3 [5] nan_4 [6] nan_5	3	chitchat about wedding_1	speaker_2	The only thing that isn’t ready yet is my wedding dress.
2358	193: [1] chitchat about wedding_1 [2] nan_1 [3] nan_2 [4] nan_3 [5] nan_4 [6] nan_5	4	chitchat about wedding_1	speaker_1	When will that be ready?
2359	193: [1] chitchat about wedding_1 [2] nan_1 [3] nan_2 [4] nan_3 [5] nan_4 [6] nan_5	5	chitchat about wedding_1	speaker_2	The dressmakers said that is would be ready in two weeks.
2360	193: [1] chitchat about wedding_1 [2] nan_1 [3] nan_2 [4] nan_3 [5] nan_4 [6] nan_5	6	chitchat about wedding_1	speaker_1	You’re getting married in three weeks.
2361	193: [1] chitchat about wedding_1 [2] nan_1 [3] nan_2 [4] nan_3 [5] nan_4 [6] nan_5	7	chitchat about wedding_1	speaker_1	So that should be ok.
2362	193: [1] chitchat about wedding_1 [2] nan_1 [3] nan_2 [4] nan_3 [5] nan_4 [6] nan_5	8	chitchat about wedding_1	speaker_1	So, you’Ve prepared the church, catering, transport, hotel-everything.
2363	193: [1] chitchat about wedding_1 [2] nan_1 [3] nan_2 [4] nan_3 [5] nan_4 [6] nan_5	9	chitchat about wedding_1	speaker_2	Yes.
2364	193: [1] chitchat about wedding_1 [2] nan_1 [3] nan_2 [4] nan_3 [5] nan_4 [6] nan_5	10	chitchat about wedding_1	speaker_2	We’Ve taken care of all of that.
2365	193: [1] chitchat about wedding_1 [2] nan_1 [3] nan_2 [4] nan_3 [5] nan_4 [6] nan_5	11	chitchat about wedding_1	speaker_2	We decided not to get married in a church though.
2366	193: [1] chitchat about wedding_1 [2] nan_1 [3] nan_2 [4] nan_3 [5] nan_4 [6] nan_5	12	chitchat about wedding_1	speaker_2	Neither of us is very religious.
2367	193: [1] chitchat about wedding_1 [2] nan_1 [3] nan_2 [4] nan_3 [5] nan_4 [6] nan_5	13	chitchat about wedding_1	speaker_1	Which hotel will the reception be held at?
2368	193: [1] chitchat about wedding_1 [2] nan_1 [3] nan_2 [4] nan_3 [5] nan_4 [6] nan_5	14	chitchat about wedding_1	speaker_2	The palace hotel they’re taking care of the catering, including the wedding cake.
2369	193: [1] chitchat about wedding_1 [2] nan_1 [3] nan_2 [4] nan_3 [5] nan_4 [6] nan_5	15	chitchat about wedding_1	speaker_2	I’m sure they’ll do a good job.
2370	193: [1] chitchat about wedding_1 [2] nan_1 [3] nan_2 [4] nan_3 [5] nan_4 [6] nan_5	16	chitchat about wedding_1	speaker_1	Oh, yes.
2371	193: [1] chitchat about wedding_1 [2] nan_1 [3] nan_2 [4] nan_3 [5] nan_4 [6] nan_5	17	chitchat about wedding_1	speaker_1	It’s and excellent hotel.
